Time,X Position,Y Position,X Error,Y Error
1744157803.2594972,402,327,82,87
1744157803.2921286,402,327,82,87
1744157803.3234868,402,327,82,87
1744157803.3608696,402,327,82,87
1744157803.3924222,402,327,82,87
1744157803.4249682,402,327,82,87
1744157803.459634,402,327,82,87
1744157803.492122,402,327,82,87
1744157803.523523,402,327,82,87
1744157803.5601904,402,327,82,87
1744157803.5925379,402,327,82,87
1744157803.6242228,401,327,81,87
1744157803.659551,402,327,82,87
1744157803.6921961,402,327,82,87
1744157803.723511,402,327,82,87
1744157803.7620356,401,327,81,87
1744157803.7918594,402,327,82,87
1744157803.8246744,401,327,81,87
1744157803.8595526,402,327,82,87
1744157803.8921661,402,327,82,87
1744157803.9236736,402,327,82,87
1744157803.9602654,402,327,82,87
1744157803.9915211,402,327,82,87
1744157804.0243022,401,327,81,87
1744157804.0596216,402,327,82,87
1744157804.0924168,401,327,81,87
1744157804.1236246,401,327,81,87
1744157804.1602712,402,327,82,87
1744157804.1915545,402,327,82,87
1744157804.2243931,401,327,81,87
1744157804.259889,402,327,82,87
1744157804.2929795,402,327,82,87
1744157804.3248775,402,327,82,87
1744157804.3604348,402,327,82,87
1744157804.3915966,401,327,81,87
1744157804.424334,402,327,82,87
1744157804.459646,402,327,82,87
1744157804.4922407,402,327,82,87
1744157804.5236568,402,327,82,87
1744157804.560516,401,328,81,88
1744157804.591652,402,327,82,87
1744157804.6243818,402,327,82,87
1744157804.6565466,402,327,82,87
1744157804.6929011,402,327,82,87
1744157804.7240965,402,327,82,87
1744157804.7581928,402,327,82,87
1744157804.7917678,402,327,82,87
1744157804.8243659,402,327,82,87
1744157804.8561878,401,328,81,88
1744157804.8923523,402,328,82,88
1744157804.9237494,402,328,82,88
1744157804.9567463,402,328,82,88
1744157804.9917078,401,328,81,88
1744157805.0243728,401,328,81,88
1744157805.057092,402,327,82,87
1744157805.0926974,402,327,82,87
1744157805.1241038,401,327,81,87
1744157805.1579568,402,327,82,87
1744157805.1917856,402,327,82,87
1744157805.2246087,401,327,81,87
1744157805.2562506,402,327,82,87
1744157805.2923899,401,327,81,87
1744157805.3237474,402,327,82,87
1744157805.356674,402,327,82,87
1744157805.391748,402,327,82,87
1744157805.425279,402,327,82,87
1744157805.4559624,402,327,82,87
1744157805.4939244,402,327,82,87
1744157805.5250666,402,327,82,87
1744157805.5577104,402,327,82,87
1744157805.5918002,401,327,81,87
1744157805.6246436,401,328,81,88
1744157805.6571813,402,327,82,87
1744157805.6924548,401,328,81,88
1744157805.7238014,402,327,82,87
1744157805.7568648,401,328,81,88
1744157805.7918172,401,327,81,87
1744157805.8244777,402,327,82,87
1744157805.855922,402,328,82,88
1744157805.892534,402,327,82,87
1744157805.923831,401,328,81,88
1744157805.9571085,401,328,81,88
1744157805.9926028,402,327,82,87
1744157806.0254197,401,328,81,88
1744157806.0565774,401,328,81,88
1744157806.0925019,401,328,81,88
1744157806.1238809,401,328,81,88
1744157806.1568744,401,327,81,87
1744157806.1918714,402,327,82,87
1744157806.2251248,401,328,81,88
1744157806.2561998,402,327,82,87
1744157806.2926514,401,327,81,87
1744157806.3239694,401,328,81,88
1744157806.3569024,401,328,81,88
1744157806.3919451,402,328,82,88
1744157806.4246857,402,327,82,87
1744157806.4563673,402,327,82,87
1744157806.4938214,402,327,82,87
1744157806.5259397,401,328,81,88
1744157806.5578036,402,327,82,87
1744157806.592439,402,326,82,86
1744157806.6245925,401,327,81,87
1744157806.6562068,401,328,81,88
1744157806.6926,401,327,81,87
1744157806.723972,401,327,81,87
1744157806.7570324,401,327,81,87
1744157806.792858,401,327,81,87
1744157806.824661,401,327,81,87
1744157806.856278,401,327,81,87
1744157806.8938901,401,327,81,87
1744157806.9242802,401,327,81,87
1744157806.957559,401,327,81,87
1744157806.9919639,401,327,81,87
1744157807.0246327,401,327,81,87
1744157807.0562518,401,327,81,87
1744157807.0937614,401,326,81,86
1744157807.1239722,401,327,81,87
1744157807.1570604,401,327,81,87
1744157807.1920276,400,327,80,87
1744157807.2247477,400,327,80,87
1744157807.2562597,400,327,80,87
1744157807.2927,400,327,80,87
1744157807.3239732,400,326,80,86
1744157807.357266,400,327,80,87
1744157807.3924148,400,327,80,87
1744157807.4252858,400,327,80,87
1744157807.4567666,400,326,80,86
1744157807.492707,401,327,81,87
1744157807.5241718,401,327,81,87
1744157807.5567281,400,327,80,87
1744157807.592064,401,327,81,87
1744157807.6247382,400,326,80,86
1744157807.6560938,400,326,80,86
1744157807.6927354,401,327,81,87
1744157807.724064,401,327,81,87
1744157807.756979,401,327,81,87
1744157807.7925022,400,327,80,87
1744157807.8251014,401,327,81,87
1744157807.8575885,401,327,81,87
1744157807.8927882,400,326,80,86
1744157807.9241962,401,327,81,87
1744157807.9569166,400,326,80,86
1744157807.9920797,401,327,81,87
1744157808.0247917,401,326,81,86
1744157808.0561705,400,326,80,86
1744157808.0928378,400,326,80,86
1744157808.1240842,400,326,80,86
1744157808.157071,400,326,80,86
1744157808.1925147,400,325,80,85
1744157808.2262578,400,327,80,87
1744157808.2567656,400,327,80,87
1744157808.2928336,400,326,80,86
1744157808.324212,401,326,81,86
1744157808.356972,400,327,80,87
1744157808.3921998,400,326,80,86
1744157808.424883,400,326,80,86
1744157808.4563625,400,326,80,86
1744157808.4929123,400,326,80,86
1744157808.5241895,401,326,81,86
1744157808.5569746,400,326,80,86
1744157808.5923467,400,325,80,85
1744157808.6252892,399,325,79,85
